Epoch [1/30], Validation AUC: 0.3864189980069808
Epoch [2/30], Validation AUC: 0.45291021221811534
Epoch [3/30], Validation AUC: 0.5677463712757831
Epoch [4/30], Validation AUC: 0.6066264618735016
Epoch [5/30], Validation AUC: 0.6164539007092198
Epoch [6/30], Validation AUC: 0.6037238382766921
Epoch [7/30], Validation AUC: 0.6460677184361394
Epoch [8/30], Validation AUC: 0.6395769745649263
Epoch [9/30], Validation AUC: 0.6661152603074771
Epoch [10/30], Validation AUC: 0.7032621294916377
Epoch [11/30], Validation AUC: 0.6922301024428683
Epoch [12/30], Validation AUC: 0.7074844788319345
Epoch [13/30], Validation AUC: 0.72682456158851
Epoch [14/30], Validation AUC: 0.7099648710737501
Epoch [15/30], Validation AUC: 0.7079109275978595
Epoch [16/30], Validation AUC: 0.7453072916666665
Epoch [17/30], Validation AUC: 0.7095482589587561
Epoch [18/30], Validation AUC: 0.7212656577316061
Epoch [19/30], Validation AUC: 0.7666251886907918
Epoch [20/30], Validation AUC: 0.7293369954011242
Epoch [21/30], Validation AUC: 0.754556277056277
Epoch [22/30], Validation AUC: 0.7611887550200803
Epoch [23/30], Validation AUC: 0.759346403864815
Epoch [24/30], Validation AUC: 0.7580833333333333
Epoch [25/30], Validation AUC: 0.7438905437153885
Epoch [26/30], Validation AUC: 0.7596539708018816
Epoch [27/30], Validation AUC: 0.7360490120933402
Epoch [28/30], Validation AUC: 0.7605846774193549
Epoch [29/30], Validation AUC: 0.7672729569281294
Epoch [30/30], Validation AUC: 0.7586312155277672
Testing AUC: 0.7745052798763735
Total AUC: 0.7745052798763735
